hid,Location,Caste,House.Material,Age,Gender,Education,q3_Ladder,q5_AgriTrends,q6_AgroDiversity,q7_AgroWildlife,q11_ForestArea,q12_ForestQuality,q13_ForestWildlife,q15_FreshwaterQuant,q16_FreshwaterQual,q17_FreshwaterWildlife,q19A_GrasslandEcosystem,q20_NatureFood,q22_FoodTrends,q24_EnoughFood,q25_Farmpc,q26_Huntpc,q27_Land_ha,tlu,q29_Occupation_Business,q29_Occupation_Tourism,q29_Occupation_Health,q29_Occupation_Agriculture,q29_Occupation_Government,q29_Occupation_Education,q29_Occupation_Labour,q29_Occupation_Private,q29_Occupation_Others,q30_EnoughIncome,q31_NatureWork,q33_IncomeTrends,q35_Healthy,q37_HealthCheck_Hospital,q37_HealthCheck_Aayurved,q37_HealthCheck_Homemade,q37_HealthCheck_Pharmacy,q37_HealthCheck_Dhami,q39_NatureHealth,q41_HealthTrends,q43_WaterSource_Tap,q43_WaterSource_River,q43_WaterSource_Tube,q43_WaterSource_Spring,q43_WaterSource_Well,q43_WaterSource_Lake,q43_WaterSource_Others,q44_Toilet,q45_NatureWater,q47_WaterShortage,q48_WaterTrends,q50_Electricity,q51_Cook,q52_NatureEnergy,q54_EnergySuff,q55_ElectricitySuff,q56_EnergyTrends,q57_ElectricityTrends,q59_FamEducation,q60_EnvEducation_School,q60_EnvEducation_Media,q60_EnvEducation_Fam,q60_EnvEducation_Elders,q60_EnvEducation_NGO,q60_EnvEducation_Others,q61_NatureEducation,q62_EducationTrends,q64_Drr,q66_DrrTrends,q67_NatureDrr,q70_Recre,q74_NatureRecrea,q75_Culture,q79_NatureCulture,q82_ConservationNature,q84_ConservationPeople,Nature
MA3,Sulubung,Higher,1,48,2,2,7,4,5,2,1,2,2,4,2,4,,4,2,1,30,0,0.76,2,0,0,0,1,0,0,0,0,0,1,4,2,1,1,0,1,1,1,4,3,1,0,0,0,0,0,0,1,2,0,2,1,Firewood,2,2,1,2,1,1,1,1,1,0,0,0,2,2,4,2,2,1,2,1,1,2,2,Living
MA4,Sulubung,Higher,1,63,2,3,8,4,5,2,2,2,2,4,4,4,,4,1,1,40,0,,1,0,0,0,1,0,0,0,0,0,1,4,4,2,1,0,1,1,0,4,2,1,0,0,0,0,0,0,1,2,0,1,1,Firewood,1,1,1,3,2,1,1,1,1,0,0,0,4,1,4,2,2,1,2,1,2,2,2,Non-Living
MF1,Sulubung,Ethnic,2,31,1,5,8,4,2,2,4,2,4,5,1,4,,2,2,1,50,0,0.51,1.8,0,0,0,1,0,0,0,0,0,4,2,2,1,1,0,0,0,0,2,2,1,0,0,1,0,0,0,1,1,3,3,1,Firewood,1,2,1,4,1,1,1,1,1,0,0,0,2,1,4,5,2,0,,1,1,1,1,Living and Non-living
MF2,Sulubung,Higher,2,46,2,3,3,4,4,1,4,2,2,4,1,4,,2,1,0,0,0,1.53,4.3,1,0,0,0,0,0,0,0,0,2,4,4,2,1,0,0,0,0,4,4,1,0,0,1,0,0,0,1,4,3,1,1,Firewood,2,2,1,4,1,1,1,1,1,0,0,0,2,1,4,2,2,0,,1,2,2,2,Living and Non-living
MF3,Sulubung,Higher,2,40,1,2,2,4,4,1,4,4,4,5,2,4,,2,3,1,5,0,0.31,0.8,0,0,0,1,0,0,0,0,0,2,2,4,3,1,0,0,0,0,4,4,1,0,0,1,0,0,0,1,2,3,2,1,Firewood,2,2,1,2,1,1,1,1,1,0,0,0,4,1,4,5,2,0,,1,2,2,1,Living
MF4,Sulubung,Higher,2,49,1,2,1,4,4,1,4,2,2,4,2,4,,2,1,1,2,0,0.1,0.7,0,0,0,1,0,0,0,0,0,2,2,2,2,1,0,0,0,0,2,2,1,0,0,1,0,0,0,1,2,0,1,1,Firewood,2,2,1,4,1,1,1,1,1,0,0,0,2,2,4,2,2,0,,1,1,1,2,Living
MD1,Sulubung,Higher,1,61,2,5,5,4,3,5,1,2,1,4,2,5,,4,2,1,75,0,3.05,1.8,0,0,0,0,1,0,0,0,0,2,2,2,3,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,1,2,1,1,Firewood,1,2,1,1,1,1,1,0,1,0,0,0,2,1,4,4,1,1,1,1,2,2,2,Living
MD2,Sulubung,Higher,1,17,2,3,7,4,2,4,4,4,4,3,2,5,,4,1,0,30,0,3.05,1.1,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0,0,0,1,3,0,0,0,1,0,0,0,1,1,2,1,1,Firewood,1,1,1,1,1,1,1,1,1,0,0,0,1,1,4,2,2,1,1,1,1,2,1,Living and Non-living
MD3,Sulubung,Higher,1,16,2,3,5,2,5,4,4,4,5,4,4,5,,4,2,1,75,0,,1.8,0,0,0,0,0,1,0,0,0,1,4,1,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,1,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,2,1,3,4,1,1,1,1,1,2,3,Living and Non-living
MD4,Sulubung,Ethnic,1,40,1,3,4,5,5,3,1,2,1,5,5,5,,2,5,0,40,0,2.54,1.4,0,0,0,1,0,0,0,0,0,4,4,5,2,1,0,0,0,0,4,4,0,0,0,1,0,0,0,1,2,2,4,1,Firewood,2,2,1,5,1,1,1,1,1,1,0,0,2,1,4,1,1,1,1,1,1,2,1,Living and Non-living
ME1,Sulubung,Higher,1,37,2,5,6,4,4,5,2,2,2,4,4,4,,4,1,1,30,0,2.19,0.6,0,0,0,0,1,0,0,0,0,4,4,2,1,1,0,0,0,0,4,3,0,0,0,1,0,0,0,1,1,2,1,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,1,2,4,3,1,1,1,1,2,2,2,Non-Living
ME2,Sulubung,Higher,1,25,2,5,10,4,2,4,4,4,4,3,2,4,,4,1,1,20,0,5.09,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,0,1,0,0,1,3,0,0,0,1,0,0,0,1,1,0,1,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,1,1,4,2,2,1,1,1,1,2,1,Non-Living
ME3,Sulubung,Higher,1,55,2,5,9,1,1,3,1,1,1,4,1,5,,3,1,1,50,0,3.05,0.7,0,0,0,0,1,0,0,0,0,1,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,LPG,3,2,1,1,1,1,1,0,1,0,0,0,3,1,4,3,1,1,4,1,1,3,2,Living and Non-living
ME4,Sulubung,Higher,1,68,2,5,7,5,5,2,1,1,5,4,1,5,,4,1,1,50,0,3.31,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,2,1,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,1,1,4,3,1,1,1,1,1,1,1,Living and Non-living
ME5,Sulubung,Ethnic,2,57,1,1,5,5,5,1,2,4,2,3,2,5,,3,3,1,40,0,0.25,0.7,0,0,0,0,0,0,1,0,0,2,2,3,4,1,0,0,0,0,2,2,1,0,0,1,0,0,0,1,2,,3,1,Firewood,2,2,1,2,1,1,1,1,0,1,0,0,2,2,4,5,2,1,1,0,2,3,2,Living and Non-living
MB7,Sulubung,Higher,1,70,2,1,6,4,4,2,4,1,1,4,2,3,,3,2,1,40,0,0.92,4.2,0,0,0,1,0,0,0,0,0,1,4,3,2,0,0,0,1,0,3,3,1,0,0,0,0,0,0,1,1,0,3,1,Firewood,1,1,1,3,1,2,1,1,1,0,0,0,3,1,4,3,3,0,3,0,3,3,3,Living and Non-living
MB8,Sulubung,Higher,2,70,2,2,7,4,2,4,2,2,2,4,2,3,,2,3,1,40,0,1.63,1.6,0,0,0,1,0,0,0,0,0,2,2,3,2,1,0,0,1,0,2,3,1,0,0,0,0,0,0,1,1,0,3,1,Firewood,1,1,1,2,1,1,1,0,1,1,0,0,3,2,4,3,3,0,2,0,2,2,3,Living
MB9,Sulubung,Higher,1,39,2,4,5,4,2,5,2,2,4,4,4,3,,3,2,1,20,0,0.51,0.9,0,0,0,0,0,0,0,0,1,1,2,2,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,1,1,2,1,1,Firewood,1,1,1,3,1,1,1,1,1,1,0,0,1,1,4,4,1,0,2,1,2,3,3,Non-Living
MB10,Sulubung,Higher,2,70,2,1,6,4,2,3,4,2,3,4,3,3,,2,3,1,35,0,1.42,2.3,0,0,0,1,0,0,0,0,0,2,2,3,3,0,0,0,1,0,3,3,1,0,0,1,0,0,0,1,2,2,3,1,Firewood,1,1,1,3,1,2,1,1,1,1,0,0,3,1,4,3,2,2,2,1,2,,,Living and Non-living
MC7,Sulubung,Higher,2,77,1,1,5,3,3,3,3,3,3,4,3,3,,3,3,1,0,0,0.1,0,0,0,0,1,0,0,0,0,0,4,3,3,1,0,0,1,0,0,3,3,1,0,0,0,0,0,0,1,3,0,3,1,Firewood,3,2,1,3,1,4,0,0,0,0,0,0,3,3,4,2,3,0,3,0,1,3,3,I don't know
MC8,Sulubung,Higher,2,42,2,2,5,4,3,3,2,3,2,3,3,3,,2,3,1,40,0,0.92,0.7,0,0,0,1,0,0,0,0,0,2,3,3,2,0,0,0,1,0,3,3,1,0,0,0,0,0,0,1,2,0,3,1,Firewood,1,1,1,1,1,1,1,1,1,0,0,0,3,2,4,3,3,0,3,0,2,3,3,Living and Non-living
MC9,Sulubung,Higher,2,67,1,2,4,4,3,2,2,2,4,4,4,3,,3,3,1,30,0,2.14,1.3,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0,0,1,0,3,3,1,0,0,0,0,0,0,1,2,2,1,1,Firewood,2,2,1,3,1,1,1,0,1,0,0,0,3,2,4,2,3,0,3,1,2,,,I don't know
MC10,Sulubung,Higher,1,55,2,2,5,4,2,5,2,2,4,3,3,3,,3,2,1,30,0,0.76,1.8,0,0,0,1,0,0,0,0,0,2,2,3,2,0,0,0,1,0,3,2,1,0,0,0,0,0,0,1,1,0,1,1,Firewood,1,1,1,3,1,1,1,1,1,0,0,0,3,1,4,4,1,0,2,1,2,3,3,Non-Living
MA5,Sulubung,Higher,1,53,1,3,10,2,1,2,4,4,4,5,4,4,,2,1,1,30,0,,2.4,0,0,0,1,0,0,0,0,0,2,2,2,2,1,1,1,1,0,2,4,1,0,0,0,0,0,0,1,1,0,1,1,Firewood,1,1,2,2,1,1,1,1,1,1,0,0,4,2,3,2,4,1,1,1,2,1,2,Living and Non-living
MA6,Sulubung,Higher,1,17,1,4,9,4,3,2,3,3,3,4,4,3,,2,1,1,40,0,,2.5,0,0,0,1,0,0,0,0,0,2,2,2,2,1,0,1,0,1,2,2,1,0,0,0,0,0,0,1,2,0,1,1,Firewood,1,1,1,1,1,1,1,1,1,0,0,0,4,1,4,2,3,1,1,1,2,1,2,Living
MA7,Sulubung,Higher,1,48,2,2,3,5,5,1,2,3,1,4,2,4,,3,4,1,35,0,0.61,0.9,0,0,0,1,0,0,0,0,0,4,3,2,2,1,1,1,1,0,3,4,1,0,0,0,0,0,0,1,1,3,1,1,Firewood,1,2,2,1,1,1,1,1,1,0,0,0,3,1,3,2,2,1,2,1,2,1,2,Non-Living
MA8,Sulubung,Higher,1,71,2,2,9,5,5,2,1,1,2,4,2,4,,2,4,1,30,0,1.27,3.4,0,0,0,1,0,0,0,0,0,2,2,3,1,0,1,1,1,1,2,1,1,0,0,0,0,0,0,1,1,4,1,1,Firewood,1,1,1,1,1,1,1,1,0,0,1,0,4,1,3,5,1,1,2,1,1,1,1,Living and Non-living
MF5,Sulubung,Higher,2,41,2,2,5,4,2,2,4,4,2,4,4,4,,4,4,1,1,0,1.02,2.1,0,0,0,1,0,0,0,0,0,1,4,2,2,1,0,0,0,0,4,4,1,0,0,1,0,0,0,1,1,0,4,1,Firewood,1,1,1,1,1,1,1,1,1,0,0,0,4,1,4,2,1,1,1,1,1,2,1,Living and Non-living
MF6,Sulubung,Higher,2,36,1,2,2,4,4,1,4,4,2,2,2,2,,2,2,1,50,0,0.1,0.7,0,0,0,1,0,0,0,0,0,2,3,4,2,1,0,0,0,0,4,2,1,0,0,1,0,0,0,1,1,0,1,1,Firewood,1,2,1,4,1,1,1,1,1,0,0,0,4,1,4,4,2,1,1,1,1,2,1,Living and Non-living
MF7,Sulubung,Higher,2,48,1,2,5,4,4,2,4,4,2,4,2,4,,1,2,1,5,0,0.51,1.9,0,0,0,1,0,0,0,0,0,2,4,4,2,1,0,0,0,0,4,1,1,0,0,1,0,0,0,1,2,0,1,1,Firewood,2,1,1,2,1,1,1,1,1,0,0,0,1,2,4,4,2,1,1,1,1,1,1,Non-Living
MF8,Sulubung,Higher,2,32,2,4,5,4,4,1,4,4,1,4,4,4,,2,2,1,50,0,0.76,0.9,0,0,0,1,0,0,0,0,0,1,2,2,2,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0,5,1,Firewood,2,2,1,3,3,1,1,1,1,0,0,0,2,1,4,4,2,1,1,1,1,2,1,Living and Non-living
MD5,Sulubung,Ethnic,1,21,1,4,5,1,4,2,4,2,2,4,4,5,,4,1,1,30,0,1.07,0.9,0,0,0,1,0,0,0,0,0,2,4,1,1,1,0,0,0,0,4,1,0,0,0,1,0,0,0,1,2,0,1,1,Firewood,1,1,1,1,1,2,1,1,1,0,0,0,2,1,4,2,2,1,1,0,5,1,2,Living and Non-living
MD 6,Sulubung,Ethnic,1,25,1,4,6,1,4,2,4,2,2,4,4,5,,4,1,1,25,0,0.76,1.4,0,0,0,1,0,0,0,0,0,2,4,1,1,1,0,0,0,0,4,1,0,0,0,1,0,0,0,1,2,0,1,1,Firewood,1,1,1,1,1,2,1,0,1,0,0,0,2,1,4,2,2,1,1,0,5,1,2,Living and Non-living
MD7,Sulubung,Ethnic,1,45,1,3,6,5,5,3,1,2,1,5,5,5,,2,5,0,15,0,0.76,1.1,0,0,0,1,0,0,0,0,0,4,4,5,1,1,0,0,0,0,4,4,0,0,0,1,0,0,0,1,2,1,4,1,Firewood,2,2,1,5,1,2,1,0,0,0,0,0,2,1,4,1,1,1,1,1,1,2,1,Living and Non-living
MD8,Sulubung,Ethnic,2,,1,1,4,2,4,2,4,2,2,4,3,4,,2,1,1,30,0,0.31,0.5,0,0,0,1,0,0,0,0,0,2,3,5,1,0,0,0,1,1,3,2,0,0,0,1,0,0,0,1,2,2,4,1,Firewood,2,2,1,1,1,2,1,0,0,0,0,0,3,1,4,3,2,1,2,0,2,2,3,Living
MD9,Sulubung,Ethnic,2,29,1,2,5,5,5,4,1,3,4,4,2,5,,3,2,1,20,0,0.51,0.7,0,0,0,1,0,0,0,0,0,4,3,5,1,1,0,0,0,0,4,4,0,0,0,1,0,0,0,1,3,0,3,1,Firewood,2,2,1,5,2,2,1,0,1,0,0,0,2,1,4,1,1,1,1,0,1,2,1,Living and Non-living
ME 6,Sulubung,Ethnic,2,55,2,1,5,5,5,5,2,2,3,5,1,3,,4,2,0,25,0,1.02,0.7,0,0,0,0,0,0,1,0,0,5,4,4,1,0,0,0,1,0,4,3,1,0,0,1,0,0,0,1,2,2,1,1,Firewood,1,1,1,1,1,2,1,0,1,0,0,0,3,2,4,3,1,1,2,0,2,,,Living and Non-living
ME 7,Sulubung,Ethnic,2,45,1,1,5,5,5,5,1,1,1,5,2,5,,3,1,0,0,0,0.36,0.7,0,0,0,1,0,0,0,0,0,2,2,2,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,2,4,1,Firewood,2,4,1,2,1,2,1,0,1,0,0,0,3,2,4,3,3,0,2,0,2,3,2,Living and Non-living
ME 8,Sulubung,Ethnic,2,26,1,4,5,4,5,3,3,3,5,5,3,3,,3,3,1,0,0,1.78,0.7,0,0,0,1,0,0,0,0,0,2,3,3,1,1,0,0,0,1,3,3,1,0,0,0,0,0,1,1,3,12,5,1,Firewood,1,1,1,1,1,1,1,0,1,0,0,0,3,1,4,3,4,0,4,0,4,,,Non-Living
ME 9,Sulubung,Ethnic,2,25,2,2,4,2,3,4,3,3,3,3,3,3,,3,3,1,10,0,0.41,0.6,0,0,0,0,0,0,1,0,0,4,3,3,3,0,0,0,1,1,3,3,0,0,0,1,0,0,0,1,3,2,2,1,Firewood,4,3,1,2,1,4,0,0,1,0,0,0,3,3,4,3,3,0,2,0,3,3,3,Living and Non-living
ME 10,Sulubung,Ethnic,2,31,1,2,4,5,4,3,1,3,4,2,2,5,,3,2,1,30,0,0.1,0,0,0,0,1,0,0,0,0,0,2,2,3,2,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1,3,0,2,1,Firewood,3,1,1,1,1,3,0,0,1,0,0,0,3,3,4,3,4,0,4,1,5,,,Living and Non-living
MB11,Sulubung,Higher,1,60,2,2,7,4,2,3,4,3,3,4,3,3,,2,2,1,30,0,4.07,1.5,0,0,0,1,0,0,0,0,0,1,2,3,2,1,0,0,1,0,2,4,1,0,0,0,0,0,0,1,2,0,3,1,Firewood,1,1,1,3,1,1,1,0,1,0,0,0,3,1,4,3,3,1,2,0,2,2,2,Living
MB12,Sulubung,Higher,1,31,2,5,9,4,4,2,4,2,2,4,3,3,,2,2,1,30,0,1.53,0.9,0,0,0,0,1,0,0,0,0,1,2,2,1,1,0,0,1,0,2,3,1,0,0,1,0,0,0,1,1,0,3,1,LPG,3,1,1,3,1,1,1,1,1,1,0,0,3,1,4,3,1,0,1,0,2,2,3,Living
MB13,Sulubung,Higher,2,55,2,2,5,5,4,2,5,4,2,4,4,3,,2,2,1,25,0,1.02,1.4,0,0,0,1,0,0,0,0,0,4,2,4,3,0,0,0,1,0,2,4,0,0,0,1,0,0,0,1,1,0,3,1,Firewood,1,2,1,4,1,1,1,0,1,0,0,0,2,2,4,2,1,1,2,1,1,2,2,Non-Living
MB14,Sulubung,Higher,2,48,2,5,8,4,2,3,4,3,2,4,3,3,,2,3,1,30,0,0,0.9,0,0,0,1,0,0,0,0,0,4,2,4,2,0,0,1,1,0,3,3,0,0,0,1,0,0,0,1,2,0,3,1,Firewood,1,1,5,3,4,1,0,0,0,0,0,0,3,3,4,3,2,1,2,0,2,,,Living
MC11,Sulubung,Ethnic,1,30,1,2,5,3,2,3,3,3,2,4,3,3,,3,2,1,20,0,0.15,1.2,0,0,0,0,0,0,1,0,0,2,2,2,1,1,0,0,1,1,2,3,1,0,0,0,0,0,0,1,2,2,2,1,Firewood,2,1,1,4,1,1,1,0,1,0,0,0,3,2,4,3,3,1,1,1,2,,,Non-Living
MC12,Sulubung,Ethnic,1,33,1,2,7,4,4,2,4,4,3,2,2,3,,3,2,1,20,0,1.02,0.6,0,0,0,1,0,0,0,0,0,2,3,2,1,1,0,0,1,1,3,3,1,0,0,0,0,0,0,1,1,0,3,1,Firewood,2,2,1,4,1,1,1,0,1,0,0,0,3,2,4,4,2,0,3,1,1,2,2,Non-Living
MC13,Sulubung,Higher,1,29,1,4,10,4,3,4,4,3,4,3,3,3,,2,2,1,20,0,1.93,1.3,0,0,0,0,0,0,0,0,1,1,3,2,2,0,0,0,1,0,3,3,1,0,0,0,0,0,0,1,2,0,3,1,Firewood,2,2,1,2,1,1,1,1,1,0,0,0,3,2,4,2,2,0,2,0,2,2,2,Non-Living
MC14,Sulubung,Higher,2,61,2,2,5,4,2,1,4,4,4,4,3,3,,2,2,1,15,0,1.02,1,0,0,0,0,0,0,0,0,1,4,2,4,2,0,0,0,1,0,2,4,0,0,0,1,0,0,0,1,1,0,3,1,Firewood,1,2,1,4,1,1,1,1,1,0,0,0,3,2,4,2,2,1,2,1,1,2,2,Living and Non-living
MA9,Sulubung,Ethnic,1,30,1,2,5,4,4,3,3,4,3,5,2,5,,2,1,1,20,0,0.81,1.6,0,0,0,1,0,0,0,0,0,2,2,4,3,1,0,1,1,1,1,3,1,0,0,0,0,0,0,1,1,0,3,1,Firewood,1,1,1,3,1,1,1,1,0,0,0,0,2,1,4,5,3,0,1,0,1,2,2,Non-Living
MA10,Sulubung,Ethnic,1,26,1,2,5,5,5,3,3,3,4,4,2,4,,4,1,1,20,0,,1.9,0,0,0,1,0,0,0,0,0,2,4,2,2,1,0,1,1,1,4,4,1,0,0,0,0,0,0,1,2,0,1,1,Firewood,2,1,1,4,1,1,0,0,0,0,0,0,4,2,4,4,2,0,2,0,2,2,3,Non-Living
MA11,Sulubung,Higher,1,35,2,4,10,2,2,2,2,2,1,4,3,4,,2,2,1,20,0,,1.9,0,0,0,1,0,0,0,0,0,2,2,3,2,1,0,0,1,0,3,3,1,0,0,0,0,0,0,1,2,0,2,1,Firewood,1,2,1,1,1,1,1,1,0,0,0,0,3,2,4,3,3,1,2,1,1,2,2,Non-Living
MA12,Sulubung,Higher,1,64,2,2,5,5,3,2,1,1,2,5,2,3,,2,1,1,20,0,3.05,4.2,0,0,0,1,0,0,0,0,0,1,2,2,3,1,0,1,1,0,3,1,1,0,0,0,0,0,0,1,1,3,1,1,Firewood,1,1,1,1,1,1,1,1,0,0,0,0,3,1,4,2,3,1,2,1,2,1,1,Non-Living
